CVR-nummer/REG-nummer,Startdato,Ophørsdato,Navn,Adresse,Postnr.,By,Virksomhedsform,Hovedbranche,Telefonnr,Email,Reklamebeskyttet
35213120,09/04/2013,,Qassiarsummi savarniartartoqatigiit,"C/O c/o Ortooraq Frederiksen, C/O c/o Ortooraq Frederiksen - Qagssiarssuk - 3921 Narsaq",3921,Narsaq,Forening,014500 Avl af får og geder,497510,jjkk@greennet.gl,Nej
41227540,01/01/2020,,Savaatillit Peqatigiit Suleqatigiissut,"C/O Nunalerinermut Siunnersorteqarfik, C/O Nunalerinermut Siunnersorteqarfik - Anders Olsensvej - 3920 Qaqortoq",3920,Qaqortoq,Forening,014500 Avl af får og geder,+299 642306,sps@nunalerineq.gl,Ja
26303680,01/10/2001,,Merino Væv og Strik,"C/O kasserer Helle Gjørup, C/O kasserer Helle Gjørup - Skytsbjergvej 20 - Lyngby - 8472 Sporup",8472,Sporup,Forening,014500 Avl af får og geder,,,Nej
28365500,23/01/2005,,Sandager Kodriver Laug,"C/O Vagn Brogaard, C/O Vagn Brogaard - Sandagervej 38 - 5854 Gislev",5854,Gislev,Forening,014100 Avl af malkekvæg,,brogaardvagn@hotmail.com,Ja
26919916,01/01/2003,,Billum Sogns Klægflækning,Tørvevej 45 - 6852 Billum,6852,Billum,Forening,014100 Avl af malkekvæg,20858362,,Nej
67082613,24/07/1964,,Frederikskogene vPeter Sønnichsen,Højer Dige 1 - 6280 Højer,6280,Højer,Forening,014100 Avl af malkekvæg,74782565,,Nej
32050921,06/04/2009,30/06/2020,Hulkær Højland,"C/O Carsten Terkelsen, C/O Carsten Terkelsen - Byagervej 30 - 6650 Brørup",6650,Brørup,Forening,014100 Avl af malkekvæg,,,Nej
15232641,01/07/1991,31/12/2008,RIBE KOMMUNES LÆPLANTNINGSLAUG,"C/O Niels P Mogensen, C/O Niels P Mogensen - Hedegårdsvej 26 - Hedegård - 6760 Ribe",6760,Ribe,Forening,014100 Avl af malkekvæg,,,Nej
67048857,03/07/1967,31/12/2012,OPTAGELSESHJEMMET LYNG LØN-& REGNSKAB.KONTOR,"C/O Direktoratet f Kriminalforsorg, C/O Direktoratet f Kriminalforsorg - Strandgade 100K - 1401 København K",1401,København K,Forening,014100 Avl af malkekvæg,,,Nej
39473704,10/04/2018,,Qaqortoq Blomst & Gøgl,"C/O BrianJuhl, C/O BrianJuhl - Alleriisanngivit - Postboks 3920 - 3920 Qaqortoq",3920,Qaqortoq,Forening,011900 Dyrkning af andre etårige afgrøder,299494644,brianjuhl@hotmail.com,Ja
28467192,31/03/2005,,Lyø Rev Ejerlaug,"C/O Peter Bjarne Hansen, C/O Peter Bjarne Hansen - Lyø Strandvej 4 - 5601 Lyø",5601,Lyø,Forening,011900 Dyrkning af andre etårige afgrøder,,,Nej
68600650,25/04/1968,,ÅDUM HUSMANDSFORENING/ FENNEUDVALGET,"C/O Jens Lindby, C/O Jens Lindby - Odderupvej 10 - Ådum - 6880 Tarm",6880,Tarm,Forening,011900 Dyrkning af andre etårige afgrøder,21990378,LindbyJens@gmail.com,Nej
25235282,01/01/2000,,Praktisk Medhjælper Uddannelse (PMU) Lyngsågård mm,"C/O P M U, C/O P M U - Ole Rømers Vej 4A - 9870 Sindal",9870,Sindal,Forening,011900 Dyrkning af andre etårige afgrøder,96781400,info@pmu.dk,Nej
25289439,01/01/2000,,Læsø Landbrug,"C/O Bettina Andreasen, C/O Bettina Andreasen - Blågranvej 2 - 9940 Læsø",9940,Læsø,Forening,015000 Blandet drift,,laesoelandbrug@gmail.com,Ja
43362275,22/06/2022,,Havnefest,"C/O 3922 Nanortalik Ilivileq b 972-104, C/O 3922 Nanortalik Ilivileq b 972-104 - Ilivileq - Postboks 3922 - 3922 Nanortalik",3922,Nanortalik,Forening,015000 Blandet drift,+299 24 64 88,sikki.soq@hotmail.com,Ja
58269417,01/04/1964,,Løvenholm Gods,Løvenholmvej 66 - Gjesing - 8963 Auning,8963,Auning,Forening,015000 Blandet drift,87950065,post@lovenholm.dk,Nej
34010064,28/11/2011,,Botofte Skovmose Sluse Dige laug,"C/O Christian Ahlefeldt-Laurvig, C/O Christian Ahlefeldt-Laurvig - Slotsgade 84 - 5953 Tranekær",5953,Tranekær,Forening,015000 Blandet drift,62591962,lcp@c.dk,Nej
29435278,01/04/2006,,Græsningslauget Nyord Strandenge,"C/O Ole P. Sørensen, C/O Ole P. Sørensen - Nyordvej 5 - 4780 Stege",4780,Stege,Forening,015000 Blandet drift,27111140,ops@opsm.dk,Ja
17940546,01/08/1994,01/08/1994,FANØ JAGTFORENING,"C/O Simon Søndergård, C/O Simon Søndergård - Storetoft 8 - Nordby - 6720 Fanø",6720,Fanø,Forening,015000 Blandet drift,,,Nej
