CVR-nummer/REG-nummer,Startdato,Ophørsdato,Navn,Adresse,Postnr.,By,Virksomhedsform,Hovedbranche,Telefonnr,Email,Reklamebeskyttet
16374172,1992-08-01,,HALVRIMMEN - ARENTSMINDE KRAFTVARMEVÆRK A M B A,"C/O Knud Erik Nedergaard, C/O Knud Erik Nedergaard - Valmuemarken 18 - Halvrimmen - 9460 Brovst",9460,Brovst,Forening,351100 Produktion af elektricitet,98238618,hakv@outlook.dk,Nej
19197298,1996-03-12,,UGGELHUSE-LANGKASTRUP KRAFTVARMEVÆRK AMBA,"C/O Juul Schouenborg Advokatfirma, C/O Juul Schouenborg Advokatfirma - Viengevej 100 - 1. - 8240 Risskov",8240,Risskov,Forening,351100 Produktion af elektricitet,86496888,karsten@sivsko.dk,Nej
18476339,1995-04-01,,VÆRUM-ØRUM KRAFTVARMEVÆRK AMBA,Borgergade 6 - 8870 Langå,8870,Langå,Forening,351100 Produktion af elektricitet,86462044,info@langaafjernvarme.dk,Nej
15025700,1991-03-01,,HEJLS VINDMØLLELAUG I/S,"C/O Mogens Westen, C/O Mogens Westen - Fjællebrovej 39 - 6093 Sjølund",6093,Sjølund,Forening,351100 Produktion af elektricitet,,mbw@khl.dk,Nej
18155141,1994-01-31,,JÆGERSPRIS KRAFTVARME A.M.B.A,Håndværkervej 9 - Over Draaby - 3630 Jægerspris,3630,Jægerspris,Forening,351100 Produktion af elektricitet,47531900,,Ja
17926195,1994-06-14,,ROSTRUP KRAFTVARMEVÆRK AMBA,Kildevej 4 - 9510 Arden,9510,Arden,Forening,351100 Produktion af elektricitet,98581622,bent@romafo.dk,Ja
19445933,1996-08-01,,BRØNS KRAFTVARMEVÆRK A.M.B.A.,"C/O Poul Peter Gad, C/O Poul Peter Gad - Hovedvejen 8D - Brøns - 6780 Skærbæk",6780,Skærbæk,Forening,351100 Produktion af elektricitet,30525258,broens.kvv@gmail.com,Nej
18496607,1995-03-01,,Skørping Varmeværk,Skørping Nord 11 - 9520 Skørping,9520,Skørping,Forening,351100 Produktion af elektricitet,98391437,mail@skoerpingvarmevaerk.dk,Nej
17750909,1994-03-16,,ASTRUP KRAFTVARMEVÆRK A.M.B.A.,Park Alle 2A - 9510 Arden,9510,Arden,Forening,351100 Produktion af elektricitet,98584488,astrupkv@mail.dk,Nej
19153908,1996-02-15,,SKULDELEV ENERGISELSKAB A M B A,Egevej 27 - Skuldelev - 4050 Skibby,4050,Skibby,Forening,351100 Produktion af elektricitet,47524136,info@skuldelevenergiselskab.dk,Nej
17038281,1993-07-01,,RAMSING LEM LIHME KRAFTVARMEVÆRK AMBA,"C/O Ramsing Lem Lihme Kraftvarmeværk, C/O Ramsing Lem Lihme Kraftvarmeværk - Hasselvej 8 - 7860 Spøttrup",7860,Spøttrup,Forening,351100 Produktion af elektricitet,97568599,info@rllfjernvarme.dk,Nej
16091308,1992-04-08,,LAURBJERG KRAFTVARMEVÆRK AMBA,Hvidtjørnevej 25 - Laurbjerg - 8870 Langå,8870,Langå,Forening,351100 Produktion af elektricitet,86468520,info@langaafjernvarme.dk,Nej
19500438,1996-08-01,,REJSBY KRAFTVARMEVÆRK A.M.B.A.,Rejsby Landevej 12B - 6780 Skærbæk,6780,Skærbæk,Forening,351100 Produktion af elektricitet,74753885,rejsbykraftvarmevaerk@firma.tele.dk,Nej
14324100,1990-06-01,,MOU KRAFTVARME AMBA,Ny Høstemarkvej 28C - 9280 Storvorde,9280,Storvorde,Forening,351100 Produktion af elektricitet,96369999,kraftvarme@redmark.dk,Ja
43768050,2022-11-19,,Borgerenergifællesskabet Bornholms Havvind F.M.B.A.,"C/O Møbelfabrikken, C/O Møbelfabrikken - Gl Rønnevej 17A - 3730 Nexø",3730,Nexø,Forening,351100 Produktion af elektricitet,,,Nej
31242711,1964-05-24,,Videbæk Energiforsyning A.m.b.a,Godthaabsvej 3 - 6920 Videbæk,6920,Videbæk,Forening,351100 Produktion af elektricitet,97171688,,Nej
31139716,1967-07-03,,Studsgård Vandværk,Voldsgårdvej 6A - 7400 Herning,7400,Herning,Forening,351100 Produktion af elektricitet,,,Nej
18021080,1994-02-02,,VORUPØR KRAFTVARMEVÆRK,Toosholmvej 6 - Vorupør - 7700 Thisted,7700,Thisted,Forening,351100 Produktion af elektricitet,97938227,,Nej
18474492,1995-05-01,,FUR KRAFTVARMEVÆRK AMBA,Vilietoften 4 - Madsbad - 7884 Fur,7884,Fur,Forening,351100 Produktion af elektricitet,97593844,,Nej
23312115,1967-07-03,,BJERRINGBRO ELVÆRK,"C/O Steffen Laursen, C/O Steffen Laursen - Fredensvej 63 - 8850 Bjerringbro",8850,Bjerringbro,Forening,351100 Produktion af elektricitet,25110011,steffenhlaursen@gmail.com,Ja
16893773,1993-04-20,,HVALPSUND KRAFTVARMEVÆRK AMBA,Hestbækvej 21 - Hvalpsund - 9640 Farsø,9640,Farsø,Forening,351100 Produktion af elektricitet,98638716,,Nej
