name,date
"Agro-Farm Kleinau eG
b) Sitz, Niederlassung, inlä",27.11.1991
Anbau- und Absatzgenossenschaft Langensendelbach,20.12.1953
Blumen-Gemüse Ein- und Verkaufsgenossenschaft Ulm,06.02.1973
"Erzeuger-Großmarkt für Obst und Gemüse eG
b) Sitz",06.05.2022
"Erzeugergemeinschaft Obst, Gemüse und Blumen eG
b",16.08.1951
"Farmer Agrar eG
b) Sitz, Niederlassung, inländisc",07.12.2017
"Gartenbaugenossenschaft Elbaue Gemüse eG
b) Sitz,",30.09.1991
"Gemüseeinlagerungsgenossenschaft Bernhausen eG
b)",04.06.1958
"Großmann's Gemüse eG
b) Sitz, Niederlassung, inlä",04.07.2013
Obst- und Gemüse-Absatzgenossenschaft Nordbaden e,haftsregist
Obst- und Gemüse-Erzeugergenossenschaft Nordbaden,23.02.1966
"Pfalzmarkt für Obst und Gemüse eG
b) Sitz, Nieder",12.06.1951
Obst- und Gemüse-Vertriebsgenossenschaft Nordbade,haftsregist
"Reichenau-Gemüse eG
b) Sitz, Niederlassung, inlän",27.12.1956
"Reichenau-Gemüse-Vertriebs eG
b) Sitz, Niederlass",18.01.1994
Vereinigte Großmärkte für Obst - und Gemüse Rhein,14.04.1967
"Vereinigte Obst- und Gemüse Großmärkte eG
b) Sitz",07.05.1929
"Vitfrisch Gemüse-Vertrieb eG
b) Sitz, Niederlassu",24.02.1948
"""Landwirtschaftliche Vieh- und Fleischvermarktung",26.02.1969
"""WIR"" Produktionsgemeinschaft für Garten- und Lan",11.07.1982
"Agrargenossenschaft Bockendorf e.G.
b) Sitz, Nied",06.12.1991
"Agrargenossenschaft Leppin eG
b) Sitz, Niederlass",18.07.1990
"Agrargenossenschaft Trebitz e. G.
b) Sitz, Nieder",22.06.1991
"Agrargenossenschaft eG Neulingen
b) Sitz, Niederl",11.12.1991
"Agrarproduktion ""Am Bärenstein"" Struppen eG
b) Si",30.08.1990
"BAG Allgäu-Oberschwaben eG
b) Sitz, Niederlassung",05.08.1919
"BAG Hohenlohe - Raiffeisen - eG
b) Sitz, Niederla",26.09.1920
BAG-Raiffeisen eG Bezugs- und Absatzgenossenschaf,30.01.1921
"Centralgenossenschaft eG
b) Sitz, Niederlassung,",25.06.1890
Borkumer Landwirtschafts- und Weidegenossenschaft,04.03.1954
"Drosaer Landwirtschaft eG
b) Sitz, Niederlassung,",06.12.1990
"GS Die Genossenschaft eG
b) Sitz, Niederlassung,",13.11.1889
"Heidesand Raiffeisen-Warengenossenschaft eG
b) Si",haftsregist
"LBV Raiffeisen eG
b) Sitz, Niederlassung, inländi",25.04.1968
LMZ Offenau eG Landwirtschaftliche Maschinengemei,12.03.2009
"LMZ Zeil West eG
b) Sitz, Niederlassung, inländis",21.09.2001
LMZ-Franken eG Landwirtschaftliche Maschinengemei,24.05.2007
"Landw. Betriebsgenossenschaft Enkirch eG
b) Sitz,",18.03.1948
"Landwirtschaft Dieckmann eG
b) Sitz, Niederlassun",21.08.2023
Landwirtschaftliche Agrargenossenschaft Dobra-Hel,06.12.1991
Landwirtschaftliche Betriebsgenossenschaft Briede,19.11.1953
Landwirtschaftliche Betriebsgenossenschaft Pünder,22.01.1964
Landwirtschaftliche Bewirtschaftungsgenossenschaf,17.03.2008
Landwirtschaftliche Bezugs- und Absatzgenossensch,21.10.1941
Landwirtschaftliche Bezugs- und Absatzgenossensch,23.02.1947
Landwirtschaftliche Bezugs- und Absatzgenossensch,haftsregist
"Landwirtschaftliche Bezugsgenossenschaft eG
b) Si",27.04.1915
Landwirtschaftliche Bezugs- und Absatzgenossensch,23.04.1992
"Landwirtschaftliche Bezugsgenossenschaft Littel,",01.05.1919
Landwirtschaftliche Brennereigenossenschaft Daube,03.06.1960
Landwirtschaftliche Buchführungs-Genossenschaft L,30.11.1921
Landwirtschaftliche Dienstleistungsgenossenschaft,haftsregist
Landwirtschaftliche Eigentümergemeinschaft Dommit,31.05.1991
Landwirtschaftliche Erzeuger- und Absatzgenossens,12.12.1990
Landwirtschaftliche Erzeuger- und Vertriebsgenoss,19.06.1991
Landwirtschaftliche Erzeugergemeinschaft Berkau,06.09.1990
Landwirtschaftliche Erzeugergemeinschaft eG Berge,20.11.1990
"Landwirtschaftliche Erzeugergemeinschaft Grabow
b",haftsregist
"Landwirtschaftliche Genossenschaft Gelenau e.G.
b",05.11.1991
Landwirtschaftliche Genossenschaft Königerode e.G,19.12.1991
Landwirtschaftliche Maschinengemeinschaft (LMG) K,23.05.2007
"Landwirtschaftliche Genossenschaft Windberge eG
b",28.11.1991
Landwirtschaftliche Maschinengemeinschaft der Zuc,13.05.2003
Landwirtschaftliche Maschinengemeinschaft der Zuc,05.07.2007
Landwirtschaftliche Maschinengenossenschaft Borst,haftsregist
Landwirtschaftliche Maschinengenossenschaft Fisch,haftsregist
Landwirtschaftliche Maschinengenossenschaft Wolto,haftsregist
Landwirtschaftliche Maschinengenossenschaft der Z,21.02.2006
Landwirtschaftliche Maschinengenossenschaft für Z,21.07.1999
"Landwirtschaftliche Produktivgenossenschaft ""Mast",23.09.1991
"Landwirtschaftliche Produktionsgenossenschaft ""Se",haftsregist
Landwirtschaftliche Produktivgenossenschaft Dürrh,26.03.1991
Landwirtschaftliche-Produktiv- Genossenschaft Bör,10.09.2021
Landwirtschaftliche Vieh- und Fleischvermarktung,18.04.1968
Landwirtschaftliche Produktivgenossenschaft e.G.,01.07.1991
Landwirtschaftliche Trocknungsgenossenschaft Neuh,01.04.2005
"ZG Raiffeisen eG
b) Sitz, Niederlassung, inländis",29.11.1920
"Waldeck-Frankenberger Bank eG
b) Sitz, Niederlass",01.12.1898
"Raiffeisen-Warengenossenschaft eG.
b) Sitz, Niede",13.01.1923
"Solidarische Landwirtschaft Ackervielfalt eG
b) S",04.05.2022
"Solidarische Landwirtschaft Hofkollektiv eG
b) Si",28.03.2021
"Solidarische Landwirtschaft Vauß-Hof eG
b) Sitz,",24.01.2016
Vermittlungsstelle für Nachbarschaftshilfe in der,07.09.2011
"Raiffeisen-Warengenossenschaft e.G.
b) Sitz, Nied",27.06.1920
"Raiffeisen-Warengenossenschaft eG
b) Sitz, Nieder",05.06.1970
"Raiffeisen-Warengenossenschaft eG Eitorf
b) Sitz,",04.03.1951
"Raiffeisen-Warengenossenschaft Südharz eG
b) Sitz",haftsregist
Raiffeisen-Warengenossenschaft Niedersachsen Mitt,haftsregist
"Raiffeisen Warengenossenschaft eG
b) Sitz, Nieder",20.11.1921
Raiffeisen-Warengenossenschaft Holtrop-Akelsbarg,14.03.1924
"Raiffeisen Warengenossenschaft Biblis eG
b) Sitz,",20.03.1934
Raiffeisen Warengenossenschaft Wörrstadt und Umge,15.04.1967
"Raiffeisen-Warengenossenschaft ""Ammerland"" eG
b)",28.02.1940
"Raiffeisen - Warengenossenschaft eG
b) Sitz, Nied",haftsregist
"Raiffeisen Ruhrgebiet eG
b) Sitz, Niederlassung,",13.02.1920
Raiffeisen Waren- und Dienstleistungsgenossenscha,07.09.1990
"Raiffeisen Schwalm-Nette eG
b) Sitz, Niederlassun",30.12.1919
"Landwirtschaftliches Unternehmen Schlanstedt eG
b",20.02.2021
"RLB Raiffeisen-Landbund eG
b) Sitz, Niederlassung",05.01.1932
Raiffeisen - Warengenossenschaft Bassum - Harpste,haftsregist
"Landwirtschaftliches Unternehmen Tangeln eG
b) Si",27.06.1991
"AOVE-BioEnergie eG
b) Sitz, Niederlassung, inländ",14.01.2010
"Bio-Energiedorf Wallen eG
b) Sitz, Niederlassung,",31.01.2011
"Bio-Familie-Rheinhessen eG
b) Sitz, Niederlassung",17.07.2019
"Bio-Ferkel/Schweine Handelsgenossenschaft eG
b) S",28.08.2023
"Bio-Marktgemeinschaft eG, Genossenschaft zur Verm",29.07.1985
"Bio-Schaukäserei Wiggensbach eG
b) Sitz, Niederla",28.11.2016
"Bio-regionale Genossenschaft Oberpfalz eG
b) Sitz",31.03.2016
"BioEnergie Bittelbronn eG
b) Sitz, Niederlassung,",04.03.2011
"BioAcker eG
b) Sitz, Niederlassung, inländische G",20. Mai 20
"BioEnergie Laderholz eG
b) Sitz, Niederlassung, i",05.01.2015
"BioEnergieDorf Willersdorf eG
b) Sitz, Niederlass",haftsregist
"BioEnergieService Marburger Land eG
b) Sitz, Nied",18.03.2015
"BioWärme Westuffeln eG
b) Sitz, Niederlassung, in",17.05.2010
"DBE Deutsche Bio-Energie eG
b) Sitz, Niederlassun",11.08.2010
"Engemann Bio eG
b) Sitz, Niederlassung, inländisc",26.01.2024
"Fair-Bio eG
b) Sitz, Niederlassung, inländische G",19.06.2020
"Franken-Gemüse Bio eG
b) Sitz, Niederlassung, inl",05.05.2021
"Unser Bioladen Waldbronn eG
b) Sitz, Niederlassun",09.01.2016
"Wachsteiner Bio-Energie eG
b) Sitz, Niederlassung",11.04.2010
Agrarbetrieb Milch und Fleisch e.G. Bad Schmiedeb,18.09.1991
"Agro-Farm Kleinau eG
b) Sitz, Niederlassung, inlä",27.11.1991
Einkaufs- und Verwertungsgenossenschaft der Fleis,20.02.1935
"Erzeugergemeinschaft Lingen-Ems eG
b) Sitz, Niede",01.03.1974
"FEK Fleischer-Einkauf Hannover/Göttingen eG
b) Si",26.04.1956
"FLEIGA Ostwürttemberg eG
b) Sitz, Niederlassung,",29.04.1918
"Farmer Agrar eG
b) Sitz, Niederlassung, inländisc",07.12.2017
"Fleischer - Einkauf Pforzheim eG.
b) Sitz, Nieder",01.01.1921
"Fleischer Genossenschaft Bamberg eG
b) Sitz, Nied",11.04.1937
"Fleischer-Einkauf eG.
b) Sitz, Niederlassung, inl",18.10.1926
"Fleischer-Einkauf Heilbronn-Hohenlohe eG.
b) Sitz",21.02.1922
"Fleischer-Dienst Braunschweig eG
b) Sitz, Niederl",28.01.1935
"Fleischer-Einkauf Mainz/Wiesbaden eG
b) Sitz, Nie",28.03.1906
"Fleischer-Einkauf Recklinghausen eG
b) Sitz, Nied",13.05.1954
"Fleischer-Einkauf eG.
b) Sitz, Niederlassung, inl",18.10.1926
"Fleischer-Genossenschaft Moers eG
b) Sitz, Nieder",27.02.1939
"Fleischer-Genossenschaft eG
b) Sitz, Niederlassun",19.12.1918
"RVF und Fleischerdienst eG Bad Hersfeld
b) Sitz,",10.09.1969
"Gilde Frisch-Markt Rhein-Ruhr eG
b) Sitz, Niederl",06.06.1934
Gilde Ingolstadt Fleischerei- und Gastro-Service,27.02.1908
Gilde Fleischer- und Gastro-Service Westfalen eG,haftsregist
Fleischerei- und Gastronomie-Service Aachen-Düren,21.03.1938
Gilde Fleischer- und Gastro-Service Anröchte-Hamm,24.11.1966
Fleischer-Genossenschaft eingetragene Genossensch,12.11.1935
"ALBMILCH Verwertungsgenossenschaft e.G.
b) Sitz,",08.02.1935
"Agrargenossenschaft ""Marktfrucht & Milch"" Düßnitz",30.04.1991
"Allgäuer Bergbauern-Milch eG
b) Sitz, Niederlassu",15.05.1957
"Allgäu Milch Käse eG
b) Sitz, Niederlassung, inlä",07.11.1960
Agrarbetrieb Milch und Fleisch e.G. Bad Schmiedeb,18.09.1991
"Förlinger Milch eG
b) Sitz, Niederlassung, inländ",04.11.2021
"Heide-Agrar Erzeugergemeinschaft ""GEMIMA"" Letzlin",28.05.1991
"Hochwald Milch eG
b) Sitz, Niederlassung, inländi",31.01.1932
"Erzeugergemeinschaft Milch Plauen eG
b) Sitz, Nie",25.06.1991
