Name,Date,legal form,Industry,Country
"""Windfang e.G. FrauenEnergieGemeinschaft""
b) Sitz",17.05.1992,cooperative,energy,Germany
"3E Eigene Erneuerbare Energie Genossenschaft eG
b",24.10.2012,cooperative,energy,Germany
"AG Parchim Energie eG
b) Sitz, Niederlassung, inl",14.06.2023,cooperative,energy,Germany
"AOVE-BioEnergie eG
b) Sitz, Niederlassung, inländ",14.01.2010,cooperative,energy,Germany
"Agrar-Energie und Rind Genossenschaft eG
b) Sitz,",27.10.2009,cooperative,energy,Germany
"Allianz der Ökonomen eG
b) Sitz, Niederlassung, i",20.02.2007,cooperative,energy,Germany
"Arnsteiner Bürger-Energie e.G.
b) Sitz, Niederlas",17.03.2012,cooperative,energy,Germany
"B.E.N BiomasseEnergieNetzwerk eG
b) Sitz, Niederl",13.03.2007,cooperative,energy,Germany
"BEA - BürgerEnergie Aschaffenburg eG
b) Sitz, Nie",07.04.2010,cooperative,energy,Germany
"BEG Bürger-Energie-Genossenschaft Esterwegen eG
b",04.07.2017,cooperative,energy,Germany
BEGiN Bürger-Energie-Genossenschaft in Neustadt-M,01.03.2012,cooperative,energy,Germany
"BENE Bürger-Energie Königsbronn eG
b) Sitz, Niede",19.11.2021,cooperative,energy,Germany
"BEnKA - BürgerEnergie Karlsruhe eG
b) Sitz, Niede",09.12.2022,cooperative,energy,Germany
"BWO Energie eG
b) Sitz, Niederlassung, inländisch",06.03.2016,cooperative,energy,Germany
"Badische Holz Energie e.G
b) Sitz, Niederlassung,",03.08.2012,cooperative,energy,Germany
"BioEnergie Bittelbronn eG
b) Sitz, Niederlassung,",04.03.2011,cooperative,energy,Germany
"BioEnergie Buch eG
b) Sitz, Niederlassung, inländ",20.09.2013,cooperative,energy,Germany
"BioEnergie Laderholz eG
b) Sitz, Niederlassung, i",05.01.2015,cooperative,energy,Germany
"BioEnergieDorf Willersdorf eG
b) Sitz, Niederlass",haftsregist,cooperative,energy,Germany
"BioEnergieService Marburger Land eG
b) Sitz, Nied",18.03.2015,cooperative,energy,Germany
"BreitnauEnergie eG
b) Sitz, Niederlassung, inländ",18.10.2011,cooperative,energy,Germany
"Brunnthal Energie eG
b) Sitz, Niederlassung, inlä",07.02.2013,cooperative,energy,Germany
"Bühler BürgerEnergiegenossenschaft eG
b) Sitz, Ni",24.10.2012,cooperative,energy,Germany
"Bürger Energie Borsdorf eG
b) Sitz, Niederlassung",20.08.2012,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"Bürger Energie Cappeln eG
b) Sitz, Niederlassung,",17.04.2018,cooperative,energy,Germany
"e: Genossenschaftsregister 
des Amtsgerichts Coesf",11.02.2022,cooperative,energy,Germany
"Bürger Energie Ennigerloh eG
b) Sitz, Niederlassu",23.01.2023,cooperative,energy,Germany
"Bürger Energie Erzgebirge eG
b) Sitz, Niederlassu",20.05.2014,cooperative,energy,Germany
"Bürger Energie Genossenschaft (BEG) eG
b) Sitz, N",29.09.2009,cooperative,energy,Germany
Bürger Energie Genossenschaft Freisinger Land eG,16.04.2013,cooperative,energy,Germany
"Bürger Energie Kassel & Söhre eG
b) Sitz, Niederl",21.03.2013,cooperative,energy,Germany
"Bürger Energie Lenzkirch eG
b) Sitz, Niederlassun",06.06.2011,cooperative,energy,Germany
"Bürger Energie Markt Schwaben eG
b) Sitz, Niederl",22.09.2010,cooperative,energy,Germany
"Bürger Energie St. Peter eG
b) Sitz, Niederlassun",27.08.2009,cooperative,energy,Germany
"Bürger Energie Region Regensburg eG
b) Sitz, Nied",31.01.2012,cooperative,energy,Germany
"Bürger speichern Energie eG
b) Sitz, Niederlassun",20.07.2011,cooperative,energy,Germany
"Bürger-Energie Altertheim eG
b) Sitz, Niederlassu",02.02.2012,cooperative,energy,Germany
"Bürger-Energie Aurach eG
b) Sitz, Niederlassung,",23.01.2023,cooperative,energy,Germany
"Bürger-Energie Bad Dürrheim eG
b) Sitz, Niederlas",14.12.2011,cooperative,energy,Germany
"Bürger-Energie Bodensee eG
b) Sitz, Niederlassung",22.07.2011,cooperative,energy,Germany
"Bürger-Energie Deißlingen eG
b) Sitz, Niederlassu",28.09.2011,cooperative,energy,Germany
"Bürger-Energie Ebenweiler eG
b) Sitz, Niederlassu",13.11.2012,cooperative,energy,Germany
"Bürger-Energie Harsum eG
b) Sitz, Niederlassung,",20.05.2010,cooperative,energy,Germany
"Bürger-Energie Großeicholzheim eG
b) Sitz, Nieder",22.11.2011,cooperative,energy,Germany
"Bürger-Energie Grabfeld eG
b) Sitz, Niederlassung",15.07.2010,cooperative,energy,Germany
"Bürger-Energie Giesen eG
b) Sitz, Niederlassung,",11.02.2010,cooperative,energy,Germany
"Bürger-Energie Fischerbach eG
b) Sitz, Niederlass",11.10.2011,cooperative,energy,Germany
"Bürger-Energie ProRegion eG
b) Sitz, Niederlassun",29.02.2012,cooperative,energy,Germany
