"year","ec_count","agri_coop_count"
1901,0,1
1953,7,0
1964,49,3
1967,21,2
1968,0,4
1970,7,7
1972,0,2
1973,8,0
1974,1,2
1975,0,1
1976,7,2
1977,2,1
1978,1,8
1979,0,2
1980,2,1
1981,2,5
1982,1,2
1983,4,3
1984,6,1
1985,4,0
1986,36,0
1987,13,1
1988,26,3
1989,13,1
1990,36,4
1991,35,3
1992,43,1
1993,73,3
1994,73,3
1995,50,0
1996,50,4
1997,51,3
1998,57,3
1999,54,5
2000,121,3
2001,76,1
2002,92,0
2003,16,1
2004,12,4
2005,15,6
2006,16,3
2007,45,0
2008,72,3
2009,41,4
2010,29,4
2011,34,4
2012,59,0
2013,37,1
2014,39,0
2015,40,2
2016,36,0
2017,34,2
2018,14,4
2019,5,0
2020,12,1
2021,7,0
2022,18,2
2023,12,0
2024,3,0
